ip;date;method;url;code;length;duration
192.168.1.1;2013/10/03 06:27:27;GET;/site;200;51930;1056536
192.168.1.1;2013/10/03 06:28:27;GET;/site;200;51930;2029834
192.168.1.1;2013/10/03 06:29:26;GET;/site;200;51930;1009384
192.168.1.1;2013/10/03 06:30:26;GET;/site;200;51930;674564
192.168.1.1;2013/10/03 06:30:53;GET;/site;200;11422;2051828
192.168.1.1;2013/10/03 06:31:27;GET;/site;200;51930;1199636
192.168.1.1;2013/10/03 06:31:46;GET;/site;200;11427;1446396
192.168.1.1;2013/10/03 06:32:27;GET;/site;200;51930;654144
192.168.1.1;2013/10/03 06:33:27;GET;/site;200;51930;697245
192.168.1.1;2013/10/03 06:34:26;GET;/site;200;51930;664150
192.168.1.1;2013/10/03 06:35:26;GET;/site;200;51930;691938
192.168.1.1;2013/10/03 06:36:27;GET;/site;200;51930;733152
192.168.1.1;2013/10/03 06:37:27;GET;/site;200;51930;645662
192.168.1.1;2013/10/03 06:38:26;GET;/site;200;51930;636939
192.168.1.1;2013/10/03 06:39:27;GET;/site;200;51930;929513
192.168.1.1;2013/10/03 06:40:27;GET;/site;200;51930;1359694
192.168.1.1;2013/10/03 06:41:27;GET;/site;200;51930;1748073
192.168.1.1;2013/10/03 06:42:02;GET;/site;200;11000;1435910
192.168.1.1;2013/10/03 06:42:27;GET;/site;200;51930;588224
192.168.1.1;2013/10/03 06:43:26;GET;/site;200;51930;704437
192.168.1.1;2013/10/03 06:44:26;GET;/site;200;51930;673577
192.168.1.1;2013/10/03 06:44:59;GET;/site;200;11389;1934837
192.168.1.1;2013/10/03 06:45:27;GET;/site;200;51930;668049
192.168.1.1;2013/10/03 06:46:27;GET;/site;200;51930;681002
192.168.1.1;2013/10/03 06:47:27;GET;/site;200;51930;649408
192.168.1.1;2013/10/03 06:48:26;GET;/site;200;51930;688356
192.168.1.1;2013/10/03 06:48:34;GET;/site;200;11395;1295085
192.168.1.1;2013/10/03 06:49:26;GET;/site;200;51930;804595
192.168.1.1;2013/10/03 06:50:08;GET;/site;200;11017;1614060
192.168.1.1;2013/10/03 06:50:27;GET;/site;200;51930;689629
192.168.1.1;2013/10/03 06:51:27;GET;/site;200;51930;690490
192.168.1.1;2013/10/03 06:51:48;GET;/site;200;11317;2068334
192.168.1.1;2013/10/03 06:52:27;GET;/site;200;51930;705519
192.168.1.1;2013/10/03 06:53:27;GET;/site;200;51930;781671
192.168.1.1;2013/10/03 06:54:27;GET;/site;200;51930;779256
192.168.1.1;2013/10/03 06:55:27;GET;/site;200;51930;1209728
192.168.1.1;2013/10/03 06:55:40;GET;/site;200;11320;1985218
192.168.1.1;2013/10/03 06:56:26;GET;/site;200;51930;863288
192.168.1.1;2013/10/03 06:57:26;GET;/site;200;51930;929044
192.168.1.1;2013/10/03 06:58:26;GET;/site;200;51930;790325
192.168.1.1;2013/10/03 06:58:41;GET;/site;200;11195;2656837
192.168.1.1;2013/10/03 06:58:45;GET;/site;200;11395;1849985
192.168.1.1;2013/10/03 06:58:46;GET;/site;200;11294;2029154
192.168.1.1;2013/10/03 06:59:27;GET;/site;200;51930;1136605
192.168.1.1;2013/10/03 06:59:52;GET;/site;200;10920;1977889
192.168.1.1;2013/10/03 07:00:27;GET;/site;200;51930;833498
192.168.1.1;2013/10/03 07:00:28;GET;/site;200;11273;1652115
192.168.1.1;2013/10/03 07:01:18;GET;/site;200;10920;1312695
192.168.1.1;2013/10/03 07:01:19;GET;/site;200;11395;1424144
192.168.1.1;2013/10/03 07:01:20;GET;/site;200;11395;1359251
192.168.1.1;2013/10/03 07:01:27;GET;/site;200;51930;711725
192.168.1.1;2013/10/03 07:02:26;GET;/site;200;51930;771724
192.168.1.1;2013/10/03 07:02:50;GET;/site;200;11073;2188361
192.168.1.1;2013/10/03 07:02:50;GET;/site;200;11212;2061511
192.168.1.1;2013/10/03 07:02:50;GET;/site;200;11212;2059708
192.168.1.1;2013/10/03 07:02:52;GET;/site;200;11337;1286595
192.168.1.1;2013/10/03 07:03:26;GET;/site;200;51930;679934
192.168.1.1;2013/10/03 07:04:26;GET;/site;200;51930;660582
192.168.1.1;2013/10/03 07:05:26;GET;/site;200;51930;672223
192.168.1.1;2013/10/03 07:05:41;GET;/site;200;11392;1290472
192.168.1.1;2013/10/03 07:06:27;GET;/site;200;51930;702943
192.168.1.1;2013/10/03 07:06:31;GET;/site;200;11571;1300272
192.168.1.1;2013/10/03 07:06:45;GET;/site;200;11227;1322029
192.168.1.1;2013/10/03 07:07:26;GET;/site;200;51930;635034
192.168.1.1;2013/10/03 07:08:26;GET;/site;200;51930;717254
192.168.1.1;2013/10/03 07:09:27;GET;/site;200;51930;697089
192.168.1.1;2013/10/03 07:10:27;GET;/site;200;51930;738782
192.168.1.1;2013/10/03 07:10:56;GET;/site;200;11198;3198479
192.168.1.1;2013/10/03 07:10:58;GET;/site;200;11209;5006079
192.168.1.1;2013/10/03 07:11:02;GET;/site;200;11227;3726451
192.168.1.1;2013/10/03 07:11:27;GET;/site;200;51930;922253
192.168.1.1;2013/10/03 07:12:02;GET;/site;200;11209;1408249
192.168.1.1;2013/10/03 07:12:22;GET;/site;200;10957;1683690
192.168.1.1;2013/10/03 07:12:26;GET;/site;200;51930;907199
192.168.1.1;2013/10/03 07:12:52;GET;/site;200;10957;1281236
192.168.1.1;2013/10/03 07:13:26;GET;/site;200;51930;756485
192.168.1.1;2013/10/03 07:13:44;GET;/site;200;11212;1453580
192.168.1.1;2013/10/03 07:14:07;GET;/site;200;11274;1514308
192.168.1.1;2013/10/03 07:14:27;GET;/site;200;51930;664568
192.168.1.1;2013/10/03 07:14:40;GET;/site;200;10957;1280851
192.168.1.1;2013/10/03 07:14:48;GET;/site;200;11277;1215005
192.168.1.1;2013/10/03 07:14:57;GET;/site;200;11352;1436275
